,,,,,,,,,,,,,
,Italy,300,21645,358,578,2020-03-10,36,2020-03-12,34,2020-04-16,37,,
,Spagna,230,18812,402,557,2020-03-17,29,2020-03-23,23,2020-04-16,30,,
,France,330,17167,263,1438,2020-03-22,24,2020-03-24,22,2020-04-16,25,,
,Sweden,50,1203,116,170,2020-03-25,21,2020-04-07,8,2020-04-16,22,,
,UK,330,12868,190,761,2020-03-26,20,2020-03-29,17,2020-04-16,21,,
,USA,1660,32443,98,2618,2020-03-27,19,2020-03-31,15,2020-04-16,20,,
,Germany,414,3804,45,309,2020-03-28,18,2020-03-30,16,2020-04-16,19,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-14,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,21067,348,602,2020-03-10,35,2020-03-12,33,2020-04-15,36,,
,Spagna,230,18255,390,499,2020-03-17,28,2020-03-23,22,2020-04-15,29,,
,France,330,15729,241,762,2020-03-22,23,2020-03-24,21,2020-04-15,24,,
,Sweden,50,1033,100,114,2020-03-25,20,2020-04-07,7,2020-04-15,21,,
,UK,330,12107,179,778,2020-03-26,19,2020-03-29,16,2020-04-15,20,,
,USA,1660,29825,90,6185,2020-03-27,18,2020-03-31,14,2020-04-15,19,,
,Germany,414,3495,42,301,2020-03-28,17,2020-03-30,15,2020-04-15,18,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-13,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,20465,338,566,2020-03-10,34,2020-03-12,32,2020-04-14,35,,
,Spagna,230,17756,380,547,2020-03-17,27,2020-03-23,21,2020-04-14,28,,
,France,330,14967,229,574,2020-03-22,22,2020-03-24,20,2020-04-14,23,,
,Sweden,50,919,89,20,2020-03-25,19,2020-04-07,6,2020-04-14,20,,
,UK,330,11329,167,717,2020-03-26,18,2020-03-29,15,2020-04-14,19,,
,USA,1660,23640,71,1535,2020-03-27,17,2020-03-31,13,2020-04-14,18,,
,Germany,414,3194,38,172,2020-03-28,16,2020-03-30,14,2020-04-14,17,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-12,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,19899,329,431,2020-03-10,33,2020-03-12,31,2020-04-13,34,,
,Spagna,230,17209,368,603,2020-03-17,26,2020-03-23,20,2020-04-13,27,,
,France,330,14393,221,561,2020-03-22,21,2020-03-24,19,2020-04-13,22,,
,Sweden,50,899,87,12,2020-03-25,18,2020-04-07,5,2020-04-13,19,,
,UK,330,10612,157,737,2020-03-26,17,2020-03-29,14,2020-04-13,18,,
,USA,1660,22105,67,1528,2020-03-27,16,2020-03-31,12,2020-04-13,17,,
,Germany,414,3022,36,151,2020-03-28,15,2020-03-30,13,2020-04-13,16,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-11,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,19468,322,619,2020-03-10,32,2020-03-12,30,2020-04-12,33,,
,Spagna,230,16606,355,525,2020-03-17,25,2020-03-23,19,2020-04-12,26,,
,France,330,13832,212,635,2020-03-22,20,2020-03-24,18,2020-04-12,21,,
,Sweden,50,887,86,17,2020-03-25,17,2020-04-07,4,2020-04-12,18,,
,UK,330,9875,146,917,2020-03-26,16,2020-03-29,13,2020-04-12,17,,
,USA,1660,20577,62,1830,2020-03-27,15,2020-03-31,11,2020-04-12,16,,
,Germany,414,2871,34,135,2020-03-28,14,2020-03-30,12,2020-04-12,15,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-10,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,18849,312,570,2020-03-10,31,2020-03-12,29,2020-04-11,32,,
,Spagna,230,16081,344,634,2020-03-17,24,2020-03-23,18,2020-04-11,25,,
,France,330,13197,202,987,2020-03-22,19,2020-03-24,17,2020-04-11,20,,
,Sweden,50,870,84,77,2020-03-25,16,2020-04-07,3,2020-04-11,17,,
,UK,330,8958,132,980,2020-03-26,15,2020-03-29,12,2020-04-11,16,,
,USA,1660,18747,57,2035,2020-03-27,14,2020-03-31,10,2020-04-11,15,,
,Germany,414,2736,33,129,2020-03-28,13,2020-03-30,11,2020-04-11,14,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-09,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,18279,302,610,2020-03-10,30,2020-03-12,28,2020-04-10,31,,
,Spagna,230,15447,330,655,2020-03-17,23,2020-03-23,17,2020-04-10,24,,
,France,330,12210,187,1341,2020-03-22,18,2020-03-24,16,2020-04-10,19,,
,Sweden,50,793,77,106,2020-03-25,15,2020-04-07,2,2020-04-10,16,,
,UK,330,7978,118,881,2020-03-26,14,2020-03-29,11,2020-04-10,15,,
,USA,1660,16691,50,1900,2020-03-27,13,2020-03-31,9,2020-04-10,14,,
,Germany,414,2607,31,258,2020-03-28,12,2020-03-30,10,2020-04-10,13,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-08,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,17669,292,542,2020-03-10,29,2020-03-12,27,2020-04-09,30,,
,Spagna,230,14792,316,747,2020-03-17,22,2020-03-23,16,2020-04-09,23,,
,France,330,10869,167,541,2020-03-22,17,2020-03-24,15,2020-04-09,18,,
,Sweden,50,687,66,96,2020-03-25,14,2020-04-07,1,2020-04-09,15,,
,UK,330,7097,105,938,2020-03-26,13,2020-03-29,10,2020-04-09,14,,
,USA,1660,14788,45,1940,2020-03-27,12,2020-03-31,8,2020-04-09,13,,
,Germany,414,2349,28,333,2020-03-28,11,2020-03-30,9,2020-04-09,12,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-07,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,17127,283,604,2020-03-10,28,2020-03-12,26,2020-04-08,29,,
,Spagna,230,14045,300,704,2020-03-17,21,2020-03-23,15,2020-04-08,22,,
,France,330,10328,158,1417,2020-03-22,16,2020-03-24,14,2020-04-08,17,,
,Sweden,50,591,57,114,2020-03-25,13,2020-04-07,0,2020-04-08,14,,
,UK,330,6159,91,786,2020-03-26,12,2020-03-29,9,2020-04-08,13,,
,USA,1660,12848,39,1970,2020-03-27,11,2020-03-31,7,2020-04-08,12,,
,Germany,414,2016,24,206,2020-03-28,10,2020-03-30,8,2020-04-08,11,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-06,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,16523,273,636,2020-03-10,27,2020-03-12,25,2020-04-07,28,,
,Spagna,230,13341,285,700,2020-03-17,20,2020-03-23,14,2020-04-07,21,,
,France,330,8911,137,833,2020-03-22,15,2020-03-24,13,2020-04-07,16,,
,Sweden,50,477,46,76,2020-03-25,12,2020-04-07,-1,2020-04-07,13,,
,UK,330,5373,79,439,2020-03-26,11,2020-04-07,-1,2020-04-07,12,,
,USA,1660,10871,33,1255,2020-03-27,10,2020-04-07,-1,2020-04-07,11,,
,Germany,414,1810,22,226,2020-03-28,9,2020-04-07,-1,2020-04-07,10,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-05,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,15887,263,525,2020-03-10,26,2020-03-12,24,2020-04-06,27,,
,Spagna,230,12641,270,694,2020-03-17,19,2020-03-23,13,2020-04-06,20,,
,France,330,8078,124,518,2020-03-22,14,2020-03-24,12,2020-04-06,15,,
,Sweden,50,401,39,28,2020-03-25,11,2020-04-06,-1,2020-04-06,12,,
,UK,330,4934,73,621,2020-03-26,10,2020-04-06,-1,2020-04-06,11,,
,USA,1660,9616,29,1165,2020-03-27,9,2020-04-06,-1,2020-04-06,10,,
,Germany,414,1584,19,140,2020-03-28,8,2020-04-06,-1,2020-04-06,9,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-04,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,15362,254,681,2020-03-10,25,2020-03-12,23,2020-04-05,26,,
,Spagna,230,11947,256,749,2020-03-17,18,2020-03-23,12,2020-04-05,19,,
,France,330,7560,116,1053,2020-03-22,13,2020-03-24,11,2020-04-05,14,,
,Sweden,50,373,36,15,2020-03-25,10,2020-04-05,-1,2020-04-05,11,,
,UK,330,4313,64,708,2020-03-26,9,2020-04-05,-1,2020-04-05,10,,
,USA,1660,8451,26,1330,2020-03-27,8,2020-04-05,-1,2020-04-05,9,,
,Germany,414,1444,17,169,2020-03-28,7,2020-04-05,-1,2020-04-05,8,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-03,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,14681,243,766,2020-03-10,24,2020-03-12,22,2020-04-04,25,,
,Spagna,230,11198,240,850,2020-03-17,16,2020-03-23,11,2020-04-04,18,,
,France,330,6507,100,1120,2020-03-22,11,2020-03-24,10,2020-04-04,13,,
,Sweden,50,358,35,50,2020-03-25,8,2020-04-04,-1,2020-04-04,10,,
,UK,330,3605,53,684,2020-03-26,7,2020-04-04,-1,2020-04-04,9,,
,USA,1660,7121,22,1045,2020-03-27,6,2020-04-04,-1,2020-04-04,8,,
,Germany,414,1275,15,168,2020-03-28,5,2020-04-04,-1,2020-04-04,7,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-02,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,13915,230,760,2020-03-10,23,2020-03-12,21,2020-04-03,24,,
,Spagna,230,10348,221,961,2020-03-17,16,2020-03-23,10,2020-04-03,17,,
,France,330,5387,83,1355,2020-03-22,11,2020-03-24,9,2020-04-03,12,,
,Sweden,50,308,30,69,2020-03-25,8,2020-04-03,-1,2020-04-03,9,,
,UK,330,2921,43,569,2020-03-26,7,2020-04-03,-1,2020-04-03,8,,
,USA,1660,6076,18,969,2020-03-27,6,2020-04-03,-1,2020-04-03,7,,
,Germany,414,1107,13,176,2020-03-28,5,2020-04-03,-1,2020-04-03,6,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-01,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,13155,218,727,2020-03-10,22,2020-03-12,20,2020-04-02,23,,
,Spagna,230,9387,201,923,2020-03-17,15,2020-03-23,9,2020-04-02,16,,
,France,330,4032,62,509,2020-03-22,10,2020-03-24,8,2020-04-02,11,,
,Sweden,50,239,23,59,2020-03-25,7,2020-04-02,-1,2020-04-02,8,,
,UK,330,2352,35,563,2020-03-26,6,2020-04-02,-1,2020-04-02,7,,
,USA,1660,5102,15,1049,2020-03-27,5,2020-04-02,-1,2020-04-02,6,,
,Germany,414,931,11,156,2020-03-28,4,2020-04-02,-1,2020-04-02,5,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-03-31,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
,Italy,300,12428,205,837,2020-03-10,21,2020-03-12,19,2020-04-01,22,,
,Spagna,230,8464,181,748,2020-03-17,14,2020-03-23,8,2020-04-01,15,,
,France,330,3523,54,499,2020-03-22,9,2020-03-24,7,2020-04-01,10,,
,Sweden,50,180,17,34,2020-03-25,6,2020-04-01,-1,2020-04-01,7,,
,UK,330,1789,26,381,2020-03-26,5,2020-04-01,-1,2020-04-01,6,,
,USA,1660,4053,12,912,2020-03-27,4,2020-04-01,-1,2020-04-01,5,,
,Germany,414,775,9,130,2020-03-28,3,2020-04-01,-1,2020-04-01,4,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-03-30,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,,,
,Italy,300,11591,192,812,2020-03-10,20,2020-03-12,18,2020-03-30,,,
,Spagna,230,7716,165,913,2020-03-17,13,2020-03-23,7,2020-03-30,,,
,France,330,3024,46,418,2020-03-22,8,2020-03-24,6,2020-03-30,,,
,Sweden,50,146,14,36,2020-03-25,5,2020-03-31,-1,2020-03-30,,,
,UK,330,1408,21,180,2020-03-26,4,2020-03-31,-1,2020-03-30,,,
,USA,1660,3141,9,573,2020-03-27,3,2020-03-30,0,2020-03-30,,,
,Germany,414,645,8,104,2020-03-28,2,2020-03-31,-1,2020-03-30,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-03-29,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,,,
,Italy,300,10779,178,756,2020-03-10,19,2020-03-12,17,2020-03-30,,,
,Spagna,230,6803,146,821,2020-03-17,12,2020-03-23,6,2020-03-30,,,
,France,330,2606,40,292,2020-03-22,7,2020-03-24,5,2020-03-30,,,
,USA,1660,2583,8,363,2020-03-27,2,2020-03-30,-1,2020-03-30,,,
,UK,330,1228,18,209,2020-03-26,3,2020-03-30,-1,2020-03-30,,,
,Germany,414,541,6,108,2020-03-28,1,2020-03-30,-1,2020-03-30,,,
,Sweden,50,110,11,5,2020-03-25,4,2020-03-30,-1,2020-03-30,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-03-28,,total deaths,Deaths per,,Start of,Days from,Lockdown,Days from,End of,,,
,,Start num,today,million,Deaths today,crisis,start,date,lockdown,crisis,,,
,Italy,300,10023,166,889,2020-03-10,18,2020-03-12,15,2020-03-29,,,
,Spagna,230,5982,128,844,2020-03-17,11,2020-03-23,4,2020-03-29,,,
,France,330,2314,35,319,2020-03-22,6,2020-03-24,3,2020-03-29,,,
,USA,1660,2221,7,525,2020-03-27,1,2020-03-29,-1,2020-03-29,,,
,UK,330,1019,15,260,2020-03-26,2,2020-03-29,-1,2020-03-29,,,
,Germany,414,433,5,82,2020-03-28,0,2020-03-29,-1,2020-03-29,,,
,Sweden,50,105,10,0,2020-03-25,3,2020-03-29,-1,2020-03-29,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-03-27,,total deaths,Deaths per,,Start of,Days from,Lockdown,Days from,End of,,,
,,Start num,today,million,Deaths today,crisis,start,date,lockdown,crisis,,,
,Italy,300,9134,151,919,2020-03-10,17,2020-03-12,15,2020-03-28,,,
,Spagna,230,5138,110,773,2020-03-17,10,2020-03-23,4,2020-03-28,,,
,France,330,1995,31,299,2020-03-22,5,2020-03-24,3,2020-03-28,,,
,USA,1660,1696,5,400,2020-03-27,0,2020-03-28,-1,2020-03-28,,,
,UK,330,759,11,181,2020-03-26,1,2020-03-28,-1,2020-03-28,,,
,Germany,414,351,4,84,2020-03-28,-1,2020-03-28,-1,2020-03-28,,,
,Sweden,50,105,10,28,2020-03-25,2,2020-03-28,-1,2020-03-28,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-03-26,,total deaths,Deaths per,,Start of,Days from,Lockdown,Days from,End of,,,
,,start num,today,million,Deaths today,crisis,start,date,lockdown,crisis,,,
,Italy,300,8215,136,712,2020-03-10,16,2020-03-12,14,2020-03-27,,,
,Spagna,230,4365,93,718,2020-03-17,9,2020-03-23,3,2020-03-27,,,
,France,330,1696,26,365,2020-03-22,4,2020-03-24,2,2020-03-27,,,
,USA,1660,1295,4,268,2020-03-27,-1,2020-03-27,-1,2020-03-27,,,
,UK,330,578,9,115,2020-03-26,0,2020-03-27,-1,2020-03-27,,,
,Germany,414,267,3,61,2020-03-27,-1,2020-03-27,-1,2020-03-27,,,
,Sweden,50,77,7,15,2020-03-25,1,2020-03-27,-1,2020-03-27,,,
